inpatient_claim_count,in_sum_amt,in_mean_amt,in_std_amt,in_unique_benes,outpatient_claim_count,out_sum_amt,out_mean_amt,out_std_amt,out_unique_benes,total_claim_count,total_sum_amt,mean_amt_overall,pct_inpatient,unique_beneficiaries,_label
5.0,97000.0,19400.0,18352.11159512714,5.0,20.0,7640.0,382.0,422.817616522899,19.0,25.0,104640.0,4185.6,0.2,24.0,legit
0.0,0.0,0.0,0.0,0.0,149.0,52170.0,350.13422818791946,689.9637540197714,138.0,149.0,52170.0,350.13422818791946,0.0,138.0,legit
3.0,19000.0,6333.333333333333,3511.884584284246,3.0,69.0,14710.0,213.18840579710144,447.2316571506486,56.0,72.0,33710.0,468.19444444444446,0.041666666666666664,59.0,legit
2.0,25000.0,12500.0,12020.815280171308,2.0,41.0,10630.0,259.2682926829268,404.0383041488916,34.0,43.0,35630.0,828.6046511627907,0.046511627906976744,36.0,legit
1.0,5000.0,5000.0,0.0,1.0,57.0,11630.0,204.03508771929825,310.7873621322992,52.0,58.0,16630.0,286.7241379310345,0.017241379310344827,53.0,legit
0.0,0.0,0.0,0.0,0.0,48.0,16890.0,351.875,707.8936578689371,31.0,48.0,16890.0,351.875,0.0,31.0,legit
0.0,0.0,0.0,0.0,0.0,46.0,14880.0,323.4782608695652,471.622341339171,44.0,46.0,14880.0,323.4782608695652,0.0,44.0,legit
0.0,0.0,0.0,0.0,0.0,30.0,10480.0,349.3333333333333,822.984196996362,25.0,30.0,10480.0,349.3333333333333,0.0,25.0,legit
0.0,0.0,0.0,0.0,0.0,8.0,700.0,87.5,74.01737247816507,7.0,8.0,700.0,87.5,0.0,7.0,legit
0.0,0.0,0.0,0.0,0.0,6.0,170.0,28.333333333333332,37.638632635454044,6.0,6.0,170.0,28.333333333333332,0.0,6.0,legit
0.0,0.0,0.0,0.0,0.0,515.0,142720.0,277.126213592233,570.1818038894332,420.0,515.0,142720.0,277.126213592233,0.0,420.0,legit
9.0,54000.0,6000.0,3741.657386773941,9.0,27.0,11610.0,430.0,668.511549868581,27.0,36.0,65610.0,1822.5,0.25,36.0,legit
9.0,61000.0,6777.777777777777,3767.5515184857713,9.0,30.0,3050.0,101.66666666666667,116.68062313894262,29.0,39.0,64050.0,1642.3076923076924,0.23076923076923078,38.0,legit
13.0,86000.0,6615.384615384615,5252.593986759645,12.0,74.0,32350.0,437.1621621621622,810.343272890291,66.0,87.0,118350.0,1360.344827586207,0.14942528735632185,78.0,legit
0.0,0.0,0.0,0.0,0.0,76.0,19840.0,261.05263157894734,668.7831316600191,56.0,76.0,19840.0,261.05263157894734,0.0,56.0,legit
0.0,0.0,0.0,0.0,0.0,53.0,29840.0,563.0188679245283,1044.0446219937528,44.0,53.0,29840.0,563.0188679245283,0.0,44.0,legit
0.0,0.0,0.0,0.0,0.0,93.0,30660.0,329.6774193548387,618.3119580109661,79.0,93.0,30660.0,329.6774193548387,0.0,79.0,legit
82.0,705600.0,8604.878048780487,8114.731344891162,71.0,89.0,34160.0,383.82022471910113,719.4308129252685,78.0,171.0,739760.0,4326.081871345029,0.47953216374269003,149.0,legit
28.0,329000.0,11750.0,13164.556792978468,26.0,157.0,30720.0,195.6687898089172,365.13129687220373,135.0,185.0,359720.0,1944.4324324324325,0.15135135135135136,161.0,legit
0.0,0.0,0.0,0.0,0.0,23.0,5420.0,235.65217391304347,596.2063865273236,21.0,23.0,5420.0,235.65217391304347,0.0,21.0,legit
1.0,29000.0,29000.0,0.0,1.0,29.0,3560.0,122.75862068965517,162.9832715281834,24.0,30.0,32560.0,1085.3333333333333,0.03333333333333333,25.0,legit
0.0,0.0,0.0,0.0,0.0,278.0,74880.0,269.3525179856115,579.1512632739048,131.0,278.0,74880.0,269.3525179856115,0.0,131.0,legit
30.0,229600.0,7653.333333333333,4210.637869060674,26.0,111.0,35890.0,323.3333333333333,631.6620692244942,83.0,141.0,265490.0,1882.9078014184397,0.2127659574468085,109.0,legit
9.0,63000.0,7000.0,7681.145747868608,8.0,77.0,11470.0,148.96103896103895,250.15039905279934,62.0,86.0,74470.0,865.9302325581396,0.10465116279069768,70.0,legit
0.0,0.0,0.0,0.0,0.0,34.0,7410.0,217.94117647058823,562.4232171797465,31.0,34.0,7410.0,217.94117647058823,0.0,31.0,legit
0.0,0.0,0.0,0.0,0.0,142.0,48050.0,338.38028169014086,625.7915694564421,128.0,142.0,48050.0,338.38028169014086,0.0,128.0,legit
0.0,0.0,0.0,0.0,0.0,23.0,4480.0,194.7826086956522,297.6402582315741,20.0,23.0,4480.0,194.7826086956522,0.0,20.0,legit
0.0,0.0,0.0,0.0,0.0,59.0,21330.0,361.52542372881356,633.149798583193,39.0,59.0,21330.0,361.52542372881356,0.0,39.0,legit
0.0,0.0,0.0,0.0,0.0,31.0,8390.0,270.64516129032256,602.7212483609703,29.0,31.0,8390.0,270.64516129032256,0.0,29.0,legit
8.0,101000.0,12625.0,11160.357137142675,7.0,30.0,8370.0,279.0,468.2273983351723,19.0,38.0,109370.0,2878.157894736842,0.21052631578947367,26.0,legit
0.0,0.0,0.0,0.0,0.0,11.0,2530.0,230.0,371.80640123591206,11.0,11.0,2530.0,230.0,0.0,11.0,legit
4.0,19000.0,4750.0,1707.825127659933,4.0,34.0,8700.0,255.88235294117646,569.822501055765,30.0,38.0,27700.0,728.9473684210526,0.10526315789473684,34.0,legit
0.0,0.0,0.0,0.0,0.0,71.0,21720.0,305.9154929577465,644.0465321804644,65.0,71.0,21720.0,305.9154929577465,0.0,65.0,legit
1.0,8000.0,8000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8000.0,8000.0,1.0,1.0,legit
0.0,0.0,0.0,0.0,0.0,57.0,15130.0,265.43859649122805,417.09056131834507,40.0,57.0,15130.0,265.43859649122805,0.0,40.0,legit
2.0,16700.0,8350.0,10818.733752154178,2.0,20.0,4940.0,247.0,549.3546453028221,20.0,22.0,21640.0,983.6363636363636,0.09090909090909091,22.0,legit
2.0,8000.0,4000.0,1414.213562373095,2.0,20.0,6700.0,335.0,666.0369833259222,19.0,22.0,14700.0,668.1818181818181,0.09090909090909091,21.0,legit
0.0,0.0,0.0,0.0,0.0,5.0,6830.0,1366.0,1273.8838251583227,4.0,5.0,6830.0,1366.0,0.0,4.0,legit
5.0,91000.0,18200.0,22129.166274399042,5.0,78.0,16030.0,205.51282051282053,375.3739172552853,71.0,83.0,107030.0,1289.5180722891566,0.060240963855421686,76.0,legit
5.0,35000.0,7000.0,4301.162633521313,5.0,37.0,8710.0,235.40540540540542,274.0802254267351,37.0,42.0,43710.0,1040.7142857142858,0.11904761904761904,42.0,legit
1.0,3000.0,3000.0,0.0,1.0,144.0,51940.0,360.69444444444446,820.8921062105845,66.0,145.0,54940.0,378.8965517241379,0.006896551724137931,67.0,legit
3.0,45000.0,15000.0,10535.653752852739,3.0,394.0,108380.0,275.0761421319797,560.6681031795838,164.0,397.0,153380.0,386.3476070528967,0.007556675062972292,167.0,legit
0.0,0.0,0.0,0.0,0.0,149.0,51110.0,343.02013422818794,649.1935794860635,115.0,149.0,51110.0,343.02013422818794,0.0,115.0,legit
10.0,75000.0,7500.0,2915.4759474226503,10.0,18.0,1570.0,87.22222222222223,89.62704132095243,16.0,28.0,76570.0,2734.6428571428573,0.35714285714285715,26.0,legit
2.0,19000.0,9500.0,7778.174593052023,2.0,22.0,5790.0,263.1818181818182,502.1893625358426,19.0,24.0,24790.0,1032.9166666666667,0.08333333333333333,21.0,legit
9.0,77000.0,8555.555555555555,5126.185499743233,9.0,252.0,66260.0,262.93650793650795,514.6732494715665,206.0,261.0,143260.0,548.8888888888889,0.034482758620689655,215.0,legit
10.0,101000.0,10100.0,5952.590472502987,10.0,89.0,24410.0,274.2696629213483,593.8183216968297,61.0,99.0,125410.0,1266.7676767676767,0.10101010101010101,71.0,legit
0.0,0.0,0.0,0.0,0.0,24.0,8550.0,356.25,728.391990142909,24.0,24.0,8550.0,356.25,0.0,24.0,legit
12.0,72000.0,6000.0,3741.657386773941,12.0,200.0,47170.0,235.85,463.15856548693955,150.0,212.0,119170.0,562.122641509434,0.05660377358490566,162.0,legit
5.0,31000.0,6200.0,5215.361924162119,5.0,34.0,10170.0,299.11764705882354,513.9058258678944,34.0,39.0,41170.0,1055.6410256410256,0.1282051282051282,39.0,legit
0.0,0.0,0.0,0.0,0.0,17.0,8550.0,502.94117647058823,765.4881180159032,13.0,17.0,8550.0,502.94117647058823,0.0,13.0,legit
0.0,0.0,0.0,0.0,0.0,29.0,10230.0,352.7586206896552,853.5467873682151,27.0,29.0,10230.0,352.7586206896552,0.0,27.0,legit
9.0,76000.0,8444.444444444445,4772.607021092118,9.0,14.0,2270.0,162.14285714285714,219.30584794996903,14.0,23.0,78270.0,3403.0434782608695,0.391304347826087,23.0,legit
6.0,79000.0,13166.666666666666,17279.081765726634,6.0,194.0,45080.0,232.37113402061857,485.090180592759,125.0,200.0,124080.0,620.4,0.03,131.0,legit
0.0,0.0,0.0,0.0,0.0,34.0,5470.0,160.88235294117646,237.41496272903532,31.0,34.0,5470.0,160.88235294117646,0.0,31.0,legit
