Provider,inpatient_claim_count,in_sum_amt,in_mean_amt,in_std_amt,in_unique_benes,outpatient_claim_count,out_sum_amt,out_mean_amt,out_std_amt,out_unique_benes,total_claim_count,total_sum_amt,mean_amt_overall,pct_inpatient,unique_beneficiaries,PotentialFraud,_label_raw,_label
PRV51001,5.0,97000.0,19400.0,18352.11159512714,5.0,20.0,7640.0,382.0,422.817616522899,19.0,25.0,104640.0,4185.6,0.2,24.0,No,No,legit
PRV51003,62.0,573000.0,9241.935483870968,8513.606243799273,53.0,70.0,32670.0,466.7142857142857,821.3645793779573,66.0,132.0,605670.0,4588.409090909091,0.4696969696969697,119.0,Yes,Yes,fraud
PRV51004,0.0,0.0,0.0,0.0,0.0,149.0,52170.0,350.13422818791946,689.9637540197714,138.0,149.0,52170.0,350.13422818791946,0.0,138.0,No,No,legit
PRV51005,0.0,0.0,0.0,0.0,0.0,1165.0,280910.0,241.1244635193133,491.556391867259,495.0,1165.0,280910.0,241.1244635193133,0.0,495.0,Yes,Yes,fraud
PRV51007,3.0,19000.0,6333.333333333333,3511.884584284246,3.0,69.0,14710.0,213.18840579710144,447.2316571506486,56.0,72.0,33710.0,468.19444444444446,0.041666666666666664,59.0,No,No,legit
PRV51008,2.0,25000.0,12500.0,12020.815280171308,2.0,41.0,10630.0,259.2682926829268,404.0383041488916,34.0,43.0,35630.0,828.6046511627907,0.046511627906976744,36.0,No,No,legit
PRV51011,1.0,5000.0,5000.0,0.0,1.0,57.0,11630.0,204.03508771929825,310.7873621322992,52.0,58.0,16630.0,286.7241379310345,0.017241379310344827,53.0,No,No,legit
PRV51012,0.0,0.0,0.0,0.0,0.0,48.0,16890.0,351.875,707.8936578689371,31.0,48.0,16890.0,351.875,0.0,31.0,No,No,legit
PRV51013,0.0,0.0,0.0,0.0,0.0,46.0,14880.0,323.4782608695652,471.622341339171,44.0,46.0,14880.0,323.4782608695652,0.0,44.0,No,No,legit
PRV51014,0.0,0.0,0.0,0.0,0.0,30.0,10480.0,349.3333333333333,822.984196996362,25.0,30.0,10480.0,349.3333333333333,0.0,25.0,No,No,legit
PRV51015,0.0,0.0,0.0,0.0,0.0,8.0,700.0,87.5,74.01737247816507,7.0,8.0,700.0,87.5,0.0,7.0,No,No,legit
PRV51016,0.0,0.0,0.0,0.0,0.0,6.0,170.0,28.333333333333332,37.638632635454044,6.0,6.0,170.0,28.333333333333332,0.0,6.0,No,No,legit
PRV51017,0.0,0.0,0.0,0.0,0.0,515.0,142720.0,277.126213592233,570.1818038894332,420.0,515.0,142720.0,277.126213592233,0.0,420.0,No,No,legit
PRV51021,29.0,269000.0,9275.862068965518,10277.911654625932,23.0,228.0,79830.0,350.13157894736844,631.2399379496628,187.0,257.0,348830.0,1357.3151750972763,0.11284046692607004,210.0,Yes,Yes,fraud
PRV51023,9.0,54000.0,6000.0,3741.657386773941,9.0,27.0,11610.0,430.0,668.511549868581,27.0,36.0,65610.0,1822.5,0.25,36.0,No,No,legit
PRV51024,9.0,61000.0,6777.777777777777,3767.5515184857713,9.0,30.0,3050.0,101.66666666666667,116.68062313894262,29.0,39.0,64050.0,1642.3076923076924,0.23076923076923078,38.0,No,No,legit
PRV51025,13.0,86000.0,6615.384615384615,5252.593986759645,12.0,74.0,32350.0,437.1621621621622,810.343272890291,66.0,87.0,118350.0,1360.344827586207,0.14942528735632185,78.0,No,No,legit
PRV51026,0.0,0.0,0.0,0.0,0.0,76.0,19840.0,261.05263157894734,668.7831316600191,56.0,76.0,19840.0,261.05263157894734,0.0,56.0,No,No,legit
PRV51027,0.0,0.0,0.0,0.0,0.0,53.0,29840.0,563.0188679245283,1044.0446219937528,44.0,53.0,29840.0,563.0188679245283,0.0,44.0,No,No,legit
PRV51029,0.0,0.0,0.0,0.0,0.0,93.0,30660.0,329.6774193548387,618.3119580109661,79.0,93.0,30660.0,329.6774193548387,0.0,79.0,No,No,legit
PRV51030,82.0,705600.0,8604.878048780487,8114.731344891162,71.0,89.0,34160.0,383.82022471910113,719.4308129252685,78.0,171.0,739760.0,4326.081871345029,0.47953216374269003,149.0,No,No,legit
